Date,Open,High,Low,Close,Adj Close,Volume
2023-05-01,190.449997,192.330002,190.279999,191.679993,184.712906,3137800
2023-05-02,191.360001,192.500000,189.750000,192.250000,185.262177,3712200
2023-05-03,192.580002,193.250000,191.779999,192.179993,185.194733,3389600
2023-05-04,193.080002,193.949997,192.160004,193.380005,186.351120,4267600
2023-05-05,192.820007,194.479996,192.389999,194.270004,187.208771,4146500
2023-05-08,193.399994,194.000000,192.649994,193.350006,186.322205,2249900
2023-05-09,193.860001,194.669998,192.710007,194.139999,187.083496,3087600
2023-05-10,194.110001,195.580002,192.669998,194.270004,187.208771,4352900
2023-05-11,194.279999,195.520004,193.000000,195.339996,188.239853,3690200
2023-05-12,195.339996,196.220001,194.949997,196.119995,188.991531,2739800
2023-05-15,196.570007,196.880005,194.000000,194.270004,187.208771,2946400
2023-05-16,194.479996,194.479996,192.539993,193.429993,186.399292,5803100
2023-05-17,193.309998,193.589996,190.839996,192.059998,185.079102,4878800
2023-05-18,191.320007,191.710007,190.410004,191.559998,184.597290,3709400
2023-05-19,192.460007,192.860001,191.100006,191.839996,184.867081,3883000
2023-05-22,191.190002,191.389999,186.410004,186.639999,179.856110,5787000
2023-05-23,186.490005,186.630005,184.589996,186.070007,179.306839,6382300
2023-05-24,186.270004,186.740005,184.369995,184.889999,178.169708,3721000
2023-05-25,182.699997,184.220001,181.949997,183.800003,177.119339,4712700
2023-05-26,183.710007,184.250000,182.399994,183.580002,176.907318,4449300
2023-05-30,182.059998,183.089996,180.699997,181.610001,175.008911,4331800
2023-05-31,182.860001,184.619995,181.460007,182.350006,175.722031,20414600
2023-06-01,182.419998,182.690002,180.800003,182.190002,176.794312,5277400
2023-06-02,182.020004,184.289993,181.699997,184.059998,178.608932,4288300
2023-06-05,183.850006,186.169998,183.610001,184.190002,178.735092,4311700
2023-06-06,184.979996,185.119995,180.429993,181.559998,176.182953,3975600
2023-06-07,180.710007,181.740005,179.699997,180.110001,174.775909,5162700
2023-06-08,179.699997,182.300003,179.330002,182.100006,176.706985,4036100
2023-06-09,181.710007,182.830002,181.000000,182.350006,176.949600,3200100
2023-06-12,182.490005,182.729996,180.690002,181.899994,176.512894,4207100
2023-06-13,182.130005,182.190002,181.080002,181.539993,176.163559,2838700
2023-06-14,182.000000,183.649994,181.440002,183.169998,177.745270,3559300
2023-06-15,184.259995,186.169998,183.520004,185.710007,180.210068,4326100
2023-06-16,186.139999,187.589996,185.699997,186.039993,180.530289,8925100
2023-06-20,186.539993,187.869995,185.240005,185.309998,179.821915,4154800
2023-06-21,185.720001,186.880005,184.190002,185.429993,179.938339,3832400
2023-06-22,186.729996,187.580002,185.869995,187.350006,181.801498,3185800
2023-06-23,188.000000,188.000000,185.949997,186.070007,180.559402,7592600
2023-06-26,186.160004,186.429993,184.119995,184.889999,179.414337,3706100
2023-06-27,184.669998,186.610001,183.960007,186.220001,180.704956,5763000
2023-06-28,186.250000,186.740005,183.380005,183.699997,178.259583,5193900
2023-06-29,183.250000,183.889999,181.389999,183.880005,178.434250,5770400
2023-06-30,184.039993,185.520004,183.880005,185.220001,179.734573,7635100
2023-07-03,184.300003,185.639999,183.470001,185.600006,180.103333,2389000
2023-07-05,185.000000,186.690002,184.970001,186.580002,181.054306,5277100
2023-07-06,185.809998,186.750000,184.889999,186.600006,181.073700,5592100
2023-07-07,185.820007,185.880005,183.029999,183.080002,177.657959,6309900
2023-07-10,184.070007,185.910004,183.779999,184.300003,178.841843,5508800
2023-07-11,184.380005,184.729996,182.419998,183.979996,178.531281,3915200
2023-07-12,183.979996,184.610001,182.979996,183.169998,177.745270,6080100
2023-07-13,185.800003,188.059998,183.259995,187.529999,181.976166,8223100
2023-07-14,187.860001,188.630005,187.089996,188.210007,182.636017,4467000
2023-07-17,186.339996,187.009995,185.419998,185.630005,180.132431,5637400
